	Positiv	Negativ	Pstv	Affil	Ngtv	Hostile	Strong	Power	Weak	Submit	Active	Passive	Pleasur	Pain	Feel	Arousal	EMOT	Virtue	Vice	Ovrst	Undrst	Academ	Doctrin	Econ@	Exch	ECON	Exprsv	Legal	Milit	Polit@	POLIT	Relig	Role	COLL	Work	Ritual	SocRel	Race	Kin@	MALE	Female	Nonadlt	HU	ANI	PLACE	Social	Region	Route	Aquatic	Land	Sky	Object	Tool	Food	Vehicle	BldgPt	ComnObj	NatObj	BodyPt	ComForm	COM	Say	Need	Goal	Try	Means	Persist	Complet	Fail	NatrPro	Begin	Vary	Increas	Decreas	Finish	Stay	Rise	Exert	Fetch	Travel	Fall	Think	Know	Causal	Ought	Perceiv	Compare	Eval@	EVAL	Solve	Abs@	ABS	Quality	Quan	NUMB	ORD	CARD	FREQ	DIST	Time@	TIME	Space	POS	DIM	Rel	COLOR	Self	Our	You	Name	Yes	No	Negate	Intrj	IAV	DAV	SV	IPadj	IndAdj	PowGain	PowLoss	PowEnds	PowAren	PowCon	PowCoop	PowAuPt	PowPt	PowDoct	PowAuth	PowOth	PowTot	RcEthic	RcRelig	RcGain	RcLoss	RcEnds	RcTot	RspGain	RspLoss	RspOth	RspTot	AffGain	AffLoss	AffPt	AffOth	AffTot	WltPt	WltTran	WltOth	WltTot	WlbGain	WlbLoss	WlbPhys	WlbPsyc	WlbPt	WlbTot	EnlGain	EnlLoss	EnlEnds	EnlPt	EnlOth	EnlTot	SklAsth	SklPt	SklOth	SklToT	TrnGain	TrnLoss	TranLw	MeansLw	EndsLw	ArenaLw	PtLw	Nation	Anomie	NegAff	PosAff	SureLw	If	NotLw	TimeSpc	FormLw
A Tale of Two Cities	6408	5820	5849	4815	5066	3376	10424	5091	4774	2074	9880	7414	477	605	53	1368	1621	3686	2277	8289	5603	610	475	1906	182	2535	596	1251	359	1131	2905	397	4673	1531	2573	722	4780	87	717	6779	2509	307	6017	154	2111	786	302	325	123	380	250	3586	1816	266	92	308	813	371	1392	5604	3153	957	1388	333	1080	2788	824	858	868	1639	530	840	323	122	807	682	412	892	1055	2148	191	58	3515	2712	327	1772	887	157	2334	3321	1191	2816	2265	9088	1555	383	1172	1368	150	6258	1481	9931	615	824	2625	182	3148	384	1788	889	497	583	2186	2392	15730	7407	6903	82	581	1004	424	242	199	733	365	769	406	124	149	2192	5827	1465	210	322	9	306	2243	330	231	1323	1835	607	69	1138	653	2328	164	66	1164	1367	405	280	1578	625	180	2926	2422	27	203	72	4021	5290	90	318	636	1017	442	1008	2426	585	2251	526	1672	353	71	818	1216	3521	0	0	0	0
Oliver Twist	7581	6582	6939	5127	5699	3853	12027	5616	5327	1858	11923	7793	693	816	70	1448	1815	4377	2771	9890	6188	709	447	2228	245	2393	605	1167	254	1249	2560	372	6169	1456	3311	882	5167	417	246	8654	2479	1000	7423	218	2262	1003	320	394	112	290	194	4432	2268	307	54	449	921	599	1573	6611	3590	1598	1471	381	1201	3381	720	1245	865	1915	659	1130	314	170	915	733	612	1046	1242	2661	270	55	4285	2897	468	1955	1170	153	2857	3724	1461	3256	2762	10538	1517	417	1100	1499	277	7310	1543	11045	709	976	2699	164	2466	379	1945	573	816	563	2140	2768	17847	9336	7383	75	626	1263	627	248	157	790	397	786	346	184	249	2294	6332	1745	520	352	8	379	2882	332	316	1833	2435	564	73	854	848	2197	121	111	1246	1445	365	462	2426	872	222	4172	3222	34	201	114	5000	6480	84	262	699	1020	546	876	2773	618	2477	390	1862	250	92	1075	1297	4576	0	0	0	0
A Christmas Carol	1504	1070	1342	863	930	673	2079	951	999	316	2081	1489	282	138	20	285	406	820	459	1896	1258	100	179	438	60	426	127	154	46	208	433	351	818	275	620	151	828	20	130	1429	232	125	1046	44	428	182	60	44	19	66	71	743	409	51	18	79	137	100	277	1165	546	287	297	77	212	537	155	216	124	357	117	174	75	29	142	159	80	208	187	397	51	4	792	557	62	336	184	33	578	768	216	680	591	2027	354	101	253	275	35	1436	438	2167	140	201	604	42	565	85	310	82	140	127	477	573	3223	1676	1462	20	152	200	89	54	16	136	76	121	59	25	21	371	1028	332	31	72	1	77	496	58	66	198	313	141	13	224	236	582	28	27	278	326	53	88	455	195	59	823	557	1	62	5	876	1142	21	36	123	176	117	175	509	103	485	97	266	45	14	157	318	818	0	0	0	0
